,winnerScore,loserScore,round,ct_tBuyRatio,ctWin,ct_startScore,ct_equipmentValue,ct_mapControl,ct_buy,ct_player_kpr,ct_player_dpr,ct_player_adr,ct_player_kast,ct_player_rating,ct_player_impact,ct_player_utility,t_startScore,t_equipmentValue,t_mapControl,t_buy,t_player_kpr,t_player_dpr,t_player_adr,t_player_kast,t_player_rating,t_player_impact,t_player_utility
22,16.0,14.0,1.0,0.5,0.0,0.0,4000.0,0.0,0.25,1.0,0.0,100.0,100.0,1.98,0.2,0.0,0.0,5250.0,0.0,0.5,1.0,0.0,69.0,100.0,1.88,0.2,0.8825000000000001
23,16.0,14.0,1.0,0.5,0.0,0.0,4000.0,0.0,0.25,1.0,0.0,100.0,100.0,1.98,0.2,0.0,0.0,5250.0,0.0,0.5,0.0,0.0,100.0,100.0,1.21,1.0,0.0
24,16.0,14.0,1.0,0.5,0.0,0.0,4000.0,0.0,0.25,1.0,0.0,100.0,100.0,1.98,0.2,0.0,0.0,5250.0,0.0,0.5,1.0,0.0,126.0,100.0,2.06,0.2,0.0
25,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,1.5425,1.0,19700.0,1.2640837760619972,0.75,1.0,0.0,52.5,100.0,1.82,1.2,-0.25
26,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,1.5425,1.0,19700.0,1.2640837760619972,0.75,0.0,0.5,0.0,50.0,0.16,0.0,0.0
27,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,1.5425,1.0,19700.0,1.2640837760619972,0.75,2.5,0.0,234.5,100.0,3.7,1.5,0.19125000000000014
28,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,1.5425,1.0,19700.0,1.2640837760619972,0.75,0.0,0.0,50.0,100.0,1.0,0.5,0.0
29,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,1.5425,1.0,19700.0,1.2640837760619972,0.75,0.5,0.0,69.0,100.0,1.44,0.1,0.0
30,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,14.0,0.0,-0.43,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,1.0,0.0,52.5,100.0,1.82,1.2,-0.25
31,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,14.0,0.0,-0.43,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.5,0.0,50.0,0.16,0.0,0.0
32,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,14.0,0.0,-0.43,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,2.5,0.0,234.5,100.0,3.7,1.5,0.19125000000000014
33,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,14.0,0.0,-0.43,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.0,50.0,100.0,1.0,0.5,0.0
34,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,14.0,0.0,-0.43,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.5,0.0,69.0,100.0,1.44,0.1,0.0
35,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,1.0,0.0,52.5,100.0,1.82,1.2,-0.25
36,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.5,0.0,50.0,0.16,0.0,0.0
37,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,2.5,0.0,234.5,100.0,3.7,1.5,0.19125000000000014
38,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.0,50.0,100.0,1.0,0.5,0.0
39,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,0.0,0.0,-0.47,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.5,0.0,69.0,100.0,1.44,0.1,0.0
40,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,36.5,0.0,-0.35,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,1.0,0.0,52.5,100.0,1.82,1.2,-0.25
41,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,36.5,0.0,-0.35,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.5,0.0,50.0,0.16,0.0,0.0
42,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,36.5,0.0,-0.35,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,2.5,0.0,234.5,100.0,3.7,1.5,0.19125000000000014
43,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,36.5,0.0,-0.35,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.0,0.0,50.0,100.0,1.0,0.5,0.0
44,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.0,1.0,36.5,0.0,-0.35,0.0,0.0,1.0,19700.0,1.2640837760619972,0.75,0.5,0.0,69.0,100.0,1.44,0.1,0.0
45,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.5,0.0,57.5,100.0,1.41,0.1,1.5,1.0,19700.0,1.2640837760619972,0.75,1.0,0.0,52.5,100.0,1.82,1.2,-0.25
46,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.5,0.0,57.5,100.0,1.41,0.1,1.5,1.0,19700.0,1.2640837760619972,0.75,0.0,0.5,0.0,50.0,0.16,0.0,0.0
47,16.0,14.0,2.0,0.3333333333333333,0.0,0.0,1950.0,0.7359162239380027,0.25,0.5,0.0,57.5,100.0,1.41,0.1,1.5,1.0,19700.0,1.2640837760619972,0.75,2.5,0.0,234.5,100.0,3.7,1.5,0.19125000000000014
